## Tue May 28 12:57:38 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_3r9xo__v --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_3r9xo__v --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_3r9xo__v/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
OG0000034.UP000321408_QEE15745.1	309799.DICTH_0253	1.76e-87	272.0	COG0863@1|root,COG0863@2|Bacteria	2|Bacteria	L	N-4 methylation of cytosine	bglIM	-	2.1.1.113,2.1.1.72	ko:K00571,ko:K00590	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	N6_N4_Mtase
OG0000037.UP000321408_QEE17264.1	1313172.YM304_21740	6.7e-106	321.0	COG4608@1|root,COG4608@2|Bacteria,2H4BW@201174|Actinobacteria,4CP5H@84992|Acidimicrobiia	201174|Actinobacteria	E	Oligopeptide/dipeptide transporter, C-terminal region	-	-	-	ko:K02031,ko:K02032,ko:K10823	ko01501,ko02010,ko02024,map01501,map02010,map02024	M00239,M00439	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25	-	-	ABC_tran,oligo_HPY
OG0000039.UP000324665_TXT54904.1	555779.Dthio_PD1228	6.3e-133	414.0	COG1009@1|root,COG1009@2|Bacteria,1MW2M@1224|Proteobacteria,42KZE@68525|delta/epsilon subdivisions,2WIPT@28221|Deltaproteobacteria,2MG3C@213115|Desulfovibrionales	28221|Deltaproteobacteria	CP	NADH-Ubiquinone oxidoreductase (complex I) chain 5 L domain protein	nuoL-2	-	1.6.5.3	ko:K00341	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Proton_antipo_C,Proton_antipo_M,Proton_antipo_N
OG0000040.UP000321408_QEE14233.1	1499968.TCA2_5751	2.24e-157	478.0	COG0318@1|root,COG0318@2|Bacteria,1TPSX@1239|Firmicutes,4HA2G@91061|Bacilli,26R1I@186822|Paenibacillaceae	91061|Bacilli	IQ	PFAM AMP-dependent synthetase and ligase	lcfA	-	6.2.1.3	ko:K01897,ko:K18661	ko00061,ko00071,ko00280,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map00280,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280,R03383	RC00004,RC00014,RC00137	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding,AMP-binding_C
OG0000052.UP000321408_QEE15269.1	1047013.AQSP01000144_gene916	4.59e-188	533.0	COG1104@1|root,COG1104@2|Bacteria,2NNVR@2323|unclassified Bacteria	2|Bacteria	E	Catalyzes the removal of elemental sulfur atoms from cysteine to produce alanine	iscS	-	2.8.1.7	ko:K04487	ko00730,ko01100,ko04122,map00730,map01100,map04122	-	R07460,R11528,R11529	RC01789,RC02313	ko00000,ko00001,ko01000,ko02048,ko03016,ko03029	-	-	-	Aminotran_5
OG0000057.UP000321408_QEE15582.1	1265505.ATUG01000002_gene2429	3.07e-132	391.0	COG0436@1|root,COG0436@2|Bacteria,1MW0Z@1224|Proteobacteria,42MKR@68525|delta/epsilon subdivisions,2WIS3@28221|Deltaproteobacteria	28221|Deltaproteobacteria	E	PFAM Aminotransferase class I and II	-	-	2.6.1.1	ko:K00812	ko00220,ko00250,ko00270,ko00330,ko00350,ko00360,ko00400,ko00401,ko00950,ko00960,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map00250,map00270,map00330,map00350,map00360,map00400,map00401,map00950,map00960,map01100,map01110,map01130,map01210,map01230	-	R00355,R00694,R00734,R00896,R02433,R02619,R05052	RC00006	ko00000,ko00001,ko01000,ko01007	-	-	-	Aminotran_1_2
OG0000058.UP000321408_QEE15756.1	743525.TSC_c05030	8.19e-80	253.0	COG0601@1|root,COG0601@2|Bacteria,1WIGY@1297|Deinococcus-Thermus	1297|Deinococcus-Thermus	P	ABC-type dipeptide oligopeptide nickel transport systems, permease components	-	-	-	ko:K02033	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1
OG0000059.UP000321408_QEE16086.1	1382358.JHVN01000002_gene2342	3.16e-23	91.3	COG2314@1|root,COG2314@2|Bacteria,1VFF4@1239|Firmicutes,4HPJ6@91061|Bacilli	91061|Bacilli	K	TM2 domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,TM2
OG0000061.UP000321408_QEE16281.1	326427.Cagg_2627	5.11e-99	320.0	COG1132@1|root,COG1132@2|Bacteria,2G66A@200795|Chloroflexi,37630@32061|Chloroflexia	32061|Chloroflexia	V	PFAM ABC transporter transmembrane region	-	-	-	ko:K06147,ko:K18890	ko02010,map02010	M00707	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.106,3.A.1.106.13,3.A.1.106.5,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
OG0000067.UP000324665_TXT53746.1	710696.Intca_3130	5.16e-99	305.0	COG2141@1|root,COG2141@2|Bacteria,2GJRF@201174|Actinobacteria,4FJQG@85021|Intrasporangiaceae	201174|Actinobacteria	C	Luciferase-like monooxygenase	-	-	-	ko:K14728	-	-	-	-	ko00000,ko01000	-	-	-	Bac_luciferase
OG0000070.UP000321408_QEE14207.1	1173021.ALWA01000039_gene1957	3.38e-68	218.0	COG0500@1|root,COG2226@2|Bacteria,1GC88@1117|Cyanobacteria	1117|Cyanobacteria	Q	PFAM Methyltransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
OG0000075.UP000321408_QEE14443.1	1230457.C476_17627	2.65e-12	70.1	COG1405@1|root,arCOG01981@2157|Archaea	2157|Archaea	K	Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB)	tfbA1	-	-	ko:K03124	ko03022,ko05169,ko05203,map03022,map05169,map05203	-	-	-	ko00000,ko00001,ko03021	-	-	-	TFIIB,TF_Zn_Ribbon
OG0000076.UP000321408_QEE14590.1	2325.TKV_c16560	9.52e-76	239.0	COG1131@1|root,COG1131@2|Bacteria,1TPMQ@1239|Firmicutes,248QD@186801|Clostridia,42FQ5@68295|Thermoanaerobacterales	186801|Clostridia	V	pfam abc	nodI	-	-	ko:K01990,ko:K09695	ko02010,map02010	M00252,M00254	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1,3.A.1.102	-	-	ABC_tran
OG0000078.UP000321408_QEE14623.1	933262.AXAM01000005_gene2470	2.28e-134	399.0	COG0183@1|root,COG0183@2|Bacteria,1MU8C@1224|Proteobacteria,42N6X@68525|delta/epsilon subdivisions,2WJIE@28221|Deltaproteobacteria,2MK14@213118|Desulfobacterales	28221|Deltaproteobacteria	I	Thiolase, C-terminal domain	-	-	2.3.1.9	ko:K00626	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020	M00088,M00095,M00373,M00374,M00375	R00238,R01177	RC00004,RC00326	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Thiolase_C,Thiolase_N
OG0000079.UP000321408_QEE14674.1	1209989.TepiRe1_1537	1.52e-247	726.0	COG0474@1|root,COG0474@2|Bacteria,1TPF5@1239|Firmicutes,247JN@186801|Clostridia,42EJU@68295|Thermoanaerobacterales	186801|Clostridia	P	ATPase, P-type (transporting), HAD superfamily, subfamily IC	pacL	-	3.6.3.8	ko:K01537	-	-	-	-	ko00000,ko01000	3.A.3.2	-	-	Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase
OG0000080.UP000321408_QEE14713.1	985255.APHJ01000040_gene347	2.59e-12	72.0	COG1011@1|root,COG1011@2|Bacteria,4NM66@976|Bacteroidetes,1I188@117743|Flavobacteriia,2P5G7@244698|Gillisia	976|Bacteroidetes	S	HAD-hyrolase-like	yjjG	-	-	ko:K07025	-	-	-	-	ko00000	-	-	-	HAD_2
OG0000083.UP000321408_QEE14774.1	8081.XP_008412919.1	7.48e-24	105.0	COG1078@1|root,KOG2681@2759|Eukaryota,38FGQ@33154|Opisthokonta,3BH1G@33208|Metazoa,3CXN4@33213|Bilateria,48B4A@7711|Chordata,494MT@7742|Vertebrata,4A27S@7898|Actinopterygii	33208|Metazoa	S	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like	-	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006163,GO:0006195,GO:0006203,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008832,GO:0009056,GO:0009058,GO:0009117,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009151,GO:0009155,GO:0009166,GO:0009200,GO:0009204,GO:0009215,GO:0009217,GO:0009262,GO:0009264,GO:0009394,GO:0009987,GO:0016787,GO:0016788,GO:0016793,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019692,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042578,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046070,GO:0046386,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901575,GO:1901576	-	ko:K12830	ko03040,map03040	M00352	-	-	ko00000,ko00001,ko00002,ko03021,ko03036,ko03041	-	-	-	HD
OG0000085.UP000321408_QEE15048.1	1191523.MROS_0971	0.0	981.0	COG3250@1|root,COG3250@2|Bacteria	2|Bacteria	G	beta-galactosidase activity	-	-	3.2.1.23	ko:K01190	ko00052,ko00511,ko00600,ko01100,map00052,map00511,map00600,map01100	-	R01105,R01678,R03355,R04783,R06114	RC00049,RC00452	ko00000,ko00001,ko01000	-	-	-	Bgal_small_N,DUF4981,Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N
OG0000088.UP000321408_QEE15127.1	881621.LIV_1243	4.32e-13	74.3	COG0584@1|root,COG0584@2|Bacteria,1V3W4@1239|Firmicutes,4HFNQ@91061|Bacilli,26KB8@186820|Listeriaceae	91061|Bacilli	C	phosphodiesterase	glpQ	-	3.1.4.46	ko:K01126	ko00564,map00564	-	R01030,R01470	RC00017,RC00425	ko00000,ko00001,ko01000	-	-	-	GDPD
OG0000089.UP000321408_QEE15163.1	426368.MmarC7_1452	1.21e-85	279.0	COG0513@1|root,arCOG00558@2157|Archaea,2XUS4@28890|Euryarchaeota,23QEZ@183939|Methanococci	183939|Methanococci	L	Belongs to the DEAD box helicase family	-	-	3.6.4.13	ko:K05592	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03009,ko03019	-	-	-	DEAD,DbpA,Helicase_C
OG0000090.UP000321408_QEE15207.1	158190.SpiGrapes_2292	4.09e-08	63.5	COG0477@1|root,COG2814@2|Bacteria,2J8KZ@203691|Spirochaetes	203691|Spirochaetes	EGP	PFAM Major Facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
OG0000091.UP000321408_QEE15235.1	1071073.KI530538_gene326	1.1e-51	188.0	COG4412@1|root,COG4412@2|Bacteria,1UBHZ@1239|Firmicutes,4IMXC@91061|Bacilli,1ZM3T@1386|Bacillus	91061|Bacilli	S	M6 family metalloprotease domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-
OG0000092.UP000321408_QEE15306.1	515635.Dtur_0145	6.36e-81	260.0	COG1251@1|root,COG1251@2|Bacteria	2|Bacteria	C	Belongs to the nitrite and sulfite reductase 4Fe-4S domain family	-	-	1.7.1.15	ko:K00362	ko00910,ko01120,map00910,map01120	M00530	R00787	RC00176	ko00000,ko00001,ko00002,ko01000	-	-	-	Fer2_BFD,Pyr_redox_2
OG0000093.UP000321408_QEE15349.1	410359.Pcal_0175	8.93e-36	128.0	COG1717@1|root,arCOG00781@2157|Archaea,2XQI2@28889|Crenarchaeota	28889|Crenarchaeota	J	Belongs to the eukaryotic ribosomal protein eL32 family	rpl32e	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02912	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L32e
OG0000095.UP000321408_QEE15721.1	1304284.L21TH_0705	5.6e-48	178.0	COG0312@1|root,COG0312@2|Bacteria,1TSQC@1239|Firmicutes,248MD@186801|Clostridia,36F5C@31979|Clostridiaceae	186801|Clostridia	S	modulator of DNA gyrase	-	-	-	ko:K03568	-	-	-	-	ko00000,ko01002	-	-	-	PmbA_TldD
OG0000098.UP000321408_QEE15918.1	323097.Nham_0656	6.89e-24	104.0	COG1028@1|root,COG1028@2|Bacteria,1MUBQ@1224|Proteobacteria,2TRPN@28211|Alphaproteobacteria,3JU36@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	IQ	Belongs to the short-chain dehydrogenases reductases (SDR) family	MA20_18715	-	-	-	-	-	-	-	-	-	-	-	adh_short
OG0000100.UP000321408_QEE15952.1	273063.STK_14190	2.26e-73	235.0	COG0024@1|root,arCOG01001@2157|Archaea,2XPVJ@28889|Crenarchaeota	28889|Crenarchaeota	E	Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)	map	-	3.4.11.18	ko:K01265	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M24
OG0000101.UP000321408_QEE16032.1	1232437.KL662017_gene515	1.03e-31	119.0	COG1670@1|root,COG1670@2|Bacteria,1PDMH@1224|Proteobacteria,42U3I@68525|delta/epsilon subdivisions,2WQBR@28221|Deltaproteobacteria,2MMEH@213118|Desulfobacterales	28221|Deltaproteobacteria	J	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_3
OG0000102.UP000321408_QEE16102.1	1379698.RBG1_1C00001G0673	3.46e-14	74.3	COG1738@1|root,COG1738@2|Bacteria	2|Bacteria	S	queuosine salvage	-	-	-	ko:K09125	-	-	-	-	ko00000	-	-	-	Vut_1
OG0000103.UP000321408_QEE16147.1	316274.Haur_0338	4.04e-111	334.0	COG0604@1|root,COG0604@2|Bacteria,2G9Z7@200795|Chloroflexi,377GH@32061|Chloroflexia	32061|Chloroflexia	C	Zinc-binding dehydrogenase	-	-	-	-	-	-	-	-	-	-	-	-	ADH_N,ADH_zinc_N
OG0000106.UP000321408_QEE16384.1	1128421.JAGA01000003_gene3602	3.21e-24	101.0	COG1100@1|root,COG1100@2|Bacteria,2NPDD@2323|unclassified Bacteria	2|Bacteria	K	- Catabolite gene activator and regulatory subunit of cAMP-dependent protein	-	-	-	ko:K06883	-	-	-	-	ko00000	-	-	-	DUF697,MMR_HSR1
OG0000107.UP000321408_QEE16613.1	192952.MM_2773	8.18e-82	283.0	COG0642@1|root,arCOG03567@1|root,arCOG02358@2157|Archaea,arCOG03567@2157|Archaea,2Y7NU@28890|Euryarchaeota,2NAAT@224756|Methanomicrobia	224756|Methanomicrobia	T	MEDS: MEthanogen/methylotroph, DcmR Sensory domain	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA,MEDS,PAS_3
OG0000108.UP000321408_QEE16970.1	944480.ATUV01000001_gene802	1.1e-32	121.0	COG1142@1|root,COG1142@2|Bacteria,1MWE1@1224|Proteobacteria,42TQV@68525|delta/epsilon subdivisions,2WQAE@28221|Deltaproteobacteria,2M775@213113|Desulfurellales	28221|Deltaproteobacteria	C	4Fe-4S binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Fer4_11,Fer4_4,Fer4_7
OG0000112.UP000321408_QEE17436.1	177439.DP0675	1.84e-245	699.0	COG0021@1|root,COG0021@2|Bacteria,1MUEY@1224|Proteobacteria,42M80@68525|delta/epsilon subdivisions,2WINJ@28221|Deltaproteobacteria	28221|Deltaproteobacteria	G	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate	tkt	-	2.2.1.1	ko:K00615	ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167	R01067,R01641,R01830,R06590	RC00032,RC00226,RC00571,RC01560	ko00000,ko00001,ko00002,ko01000	-	-	-	Transket_pyr,Transketolase_C,Transketolase_N
OG0000113.UP000321408_QEE17909.1	693661.Arcve_0172	1.36e-116	349.0	COG0468@1|root,arCOG00415@2157|Archaea,2XT80@28890|Euryarchaeota,2463P@183980|Archaeoglobi	183980|Archaeoglobi	L	Involved in DNA repair and in homologous recombination. Binds and assemble on single-stranded DNA to form a nucleoprotein filament. Hydrolyzes ATP in a ssDNA-dependent manner and promotes DNA strand exchange between homologous DNA molecules	radA	-	-	ko:K04483	-	-	-	-	ko00000,ko03400	-	-	-	HHH_5,Rad51
OG0000122.UP000321408_QEE14260.1	930945.SiRe_2668	1.44e-11	67.4	COG2263@1|root,arCOG00910@2157|Archaea	2157|Archaea	J	RNA methylase	prmA	-	-	ko:K07579	-	-	-	-	ko00000	-	-	-	MTS,PrmA
OG0000124.UP000321408_QEE14296.1	1095750.HMPREF9970_2969	2.67e-15	81.3	COG0500@1|root,COG2226@2|Bacteria,1TSVN@1239|Firmicutes,24BR1@186801|Clostridia,1HVFK@1164882|Lachnoanaerobaculum	186801|Clostridia	Q	Spermine/spermidine synthase domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11,Methyltransf_25,Methyltransf_31
OG0000126.UP000321408_QEE14351.1	5741.EDO78070	3.82e-267	760.0	COG1042@1|root,2QWQW@2759|Eukaryota	2759|Eukaryota	C	ATP-grasp domain	-	-	-	-	-	-	-	-	-	-	-	-	ATP-grasp_5,Acetyltransf_1,Acetyltransf_3,CoA_binding_2,Succ_CoA_lig
OG0000128.UP000321408_QEE14384.1	374847.Kcr_0495	7.08e-41	141.0	COG1522@1|root,arCOG01580@2157|Archaea	2157|Archaea	K	COG1522 Transcriptional regulators	-	-	-	-	-	-	-	-	-	-	-	-	AsnC_trans_reg,HTH_24,HTH_IclR,TrmB
